PLANTEL,DOMICILIO_MOD,Latitude_Plantel,Longitude_Plantel,Latitude_Direccion,Longitude_Direccion,Latitud Correcta,Longitud Correcta,Latitud-Longitud Final,Latitud_final,Longitud_final,Observacion
"PLANTEL 12, NEZAHUALCÓYOTL","AV. LÁZARO CÁRDENAS Y RANCHO GRANDE, COL. BENITO JUÁREZ. C.P. 57000",19.4088882,-98.9878226,19.407791,-98.9884772,19.40909056,-98.98781188,"19.408867943607994, -98.98782260441041",19.408867943607994,-98.98782260441041,
PREPARATORIA OFICIAL NÚM. 24,"FRONTERA S/N, COL. NUEVA SAN RAFAEL. C.P. 53640,",18.8466474,-97.7016202,19.4563808,-99.2539612,,,"19.454004781829948, -99.25431250440916",19.454004781829948,-99.25431250440916,
"COLEGIO DE CIENCIAS Y HUMANIDADES, PLANTEL VALLEJO","AV. 100 METROS ESQ. FORTUNA, COL. MAGDALENA DE LAS SALINAS. C.P. 07760",19.3293289,-99.1885563,19.4802037,-99.1414807,19.48424893,-99.1408802,"19.484056752923617, -99.14088020440838",19.484056752923617,-99.14088020440838,
