ORIGEN,Latitud_final,Longitud_final,KEY_ETA,FOLIO,COLONIA,CP,ALCMUN_ASP,OPC1,RESULTADO,EXPL_RESULTADO,CVE_ESC_ASI,PROMEDIO,ASISTIO,BEST_ASENTA,d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,CVE_OPCION,NOMBRE_MUNICIPIO,INSTITUCION,PLANTEL,DOMICILIO,NOMBRE_RECORTADO,DOMICILIO_MOD,DOMICILIO_MOD_,Latitude_Plantel,Longitude_Plantel,Latitude_Direccion,Longitude_Direccion,Latitud Correcta,Longitud Correcta,Latitud-Longitud Final,Observacion,DESTINO,Tiempo_en_Min,Tiempo_Estimado_Arribo,Modo_Transporte
"BENITO JUAREZ (LA AURORA),Nezahualcóyotl,Ciudad Nezahualcóyotl,57000",19.484056752923617,-99.14088020440838,"BENITO JUAREZ (LA AURORA)_Nezahualcóyotl_Ciudad Nezahualcóyotl_57000_19.484056752923617, -99.14088020440838",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"19.484056752923617,-99.14088020440838",246.383,"4 horas, 6 minutos, 23 segundos",transit
"PEDREGAL DE SAN NICOLAS 3A SECCION,Tlalpan,Ciudad de México,14100",19.40886794360799,-98.9878226044104,"PEDREGAL DE SAN NICOLAS 3A SECCION_Tlalpan_Ciudad de México_14100_19.408867943607994, -98.98782260441041",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"19.40886794360799,-98.9878226044104",259.533,"4 horas, 19 minutos, 32 segundos",transit
"SAN LUIS AYUCAN,Jilotzingo,,54570",19.454004781829948,-99.25431250440916,"SAN LUIS AYUCAN_Jilotzingo__54570_19.454004781829948, -99.25431250440916",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,"19.454004781829948,-99.25431250440916",116.467,"1 hora, 56 minutos, 28 segundos",transit
